start,end,count,severity,top1_raw,driver,anomaly_score
2025-01-14 02:18:16,2025-01-14 02:30:16,3,medium,gearbox_X-Axis_Kurtosis_scaled,gearbox Kurtosis scaled,-0.05811818017670545
2025-01-14 03:46:36,2025-01-14 03:56:36,3,medium,gearbox_X-Axis_RMS_Velocity_mm/sec_scaled_delta,gearbox RMS delta,-0.05012562591930081
2025-01-15 14:50:12,2025-01-15 14:55:32,5,medium,motor_X-Axis_Kurtosis_scaled_roll_std,motor Kurtosis std,-0.05556410851364901
2025-01-20 12:27:21,2025-01-20 12:33:22,4,medium,roller2_Z-Axis_Kurtosis_scaled_volatility,roller2 Kurtosis volatility,-0.050704934748648234
2025-01-20 12:33:02,2025-01-20 12:33:02,1,high,roller2_Z-Axis_Kurtosis_scaled,roller2 Kurtosis scaled,-0.12750410430092418
2025-01-20 13:18:42,2025-01-20 13:20:31,3,medium,roller2_X-Axis_Crest_Factor_scaled_volatility,roller2 Crest volatility,-0.06547929329249924
2025-01-20 13:49:51,2025-01-20 13:55:31,7,medium,roller1_X-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,roller1 Peak volatility,-0.11530729713334242
2025-01-20 14:10:52,2025-01-20 14:22:11,3,medium,roller1_X-Axis_Kurtosis_scaled,roller1 Kurtosis scaled,-0.06749077532380865
2025-01-20 15:02:42,2025-01-20 15:20:11,13,medium,motor_Z-Axis_Kurtosis_scaled_delta,motor Kurtosis delta,-0.06004165058424704
2025-01-20 15:19:21,2025-01-20 15:19:21,1,high,motor_Z-Axis_Kurtosis_scaled,motor Kurtosis scaled,-0.16038340362826076
2025-01-20 15:30:11,2025-01-20 15:30:11,1,high,motor_Z-Axis_Kurtosis_scaled,motor Kurtosis scaled,-0.16048773561899232
2025-01-20 15:30:21,2025-01-20 15:38:52,8,medium,motor_Z-Axis_Kurtosis_scaled_roll_std,motor Kurtosis std,-0.07076278004187087
2025-01-20 15:55:01,2025-01-20 16:19:22,8,medium,roller2_X-Axis_Crest_Factor_scaled_volatility,roller2 Crest volatility,-0.08225109843873779
2025-01-20 16:49:11,2025-01-20 16:49:11,1,high,gearbox_Z-Axis_Kurtosis_scaled,gearbox Kurtosis scaled,-0.12733703812375796
2025-01-20 17:15:42,2025-01-20 17:17:51,4,medium,roller2_Z-Axis_Kurtosis_scaled_roll_std,roller2 Kurtosis std,-0.10369585803535664
2025-01-20 18:04:11,2025-01-20 18:23:41,5,medium,gearbox_X-Axis_Kurtosis_scaled,gearbox Kurtosis scaled,-0.05724164870804871
2025-01-21 02:19:11,2025-01-21 02:19:11,1,high,motor_Z-Axis_Kurtosis_scaled,motor Kurtosis scaled,-0.12451170140142653
